coil_tag,direct_field_key,direct_label,target_value,target_unit,source_section,source_label,source_value,source_unit,transform,source_type,confidence,review_note
CCWC-1,coil_quantity,Coil Quantity,1,,Cover Page,Qty,1,,direct,pdf,exact_match,
CCWC-1,coil_hand,Coil Hand,Left,,Cover Page,Handing,LH,,normalize_lh_to_left,pdf_normalized,normalized_match,
CCWC-1,finned_height,Finned Height(In),16.5,in,Cooling CWC,Fin Height (in),16.5,in,direct,pdf,exact_match,
CCWC-1,finned_length,Finned Length(In),24,in,Cooling CWC,Fin Length (in),24,in,direct,pdf,exact_match,
CCWC-1,rows,Rows Deep,4,,Cooling CWC,Rows,4,,direct,pdf,exact_match,
CCWC-1,fin_density_fpi,Fins Per Inch,14,FPI,Cooling CWC,FPI,14,,direct,pdf,exact_match,
CCWC-1,airflow,Total Air Flow(CFM),1095,CFM,Cooling CWC,Airflow (CFM),1095,CFM,direct,pdf,exact_match,
CCWC-1,entering_db_f,Entering Dry Bulb(F),86.4,degF,Cooling CWC,DB (F),86.4,degF,direct,pdf,exact_match,
CCWC-1,entering_wb_f,Entering Wet Bulb(F),75.2,degF,Cooling CWC,WB (F),75.2,degF,direct,pdf,exact_match,
CCWC-1,fluid_type,Fluid Type,Propylene Glycol,,Cooling CWC,Fluid Type,Propylene Glycol,,direct,pdf,exact_match,
CCWC-1,fluid_ratio_percent,Fluid Ratio(%),30,%,Cooling CWC,Fluid Percent (%),30,%,direct,pdf,exact_match,
CCWC-1,entering_fluid_temp_f,Entering Fluid Temp(F),45,degF,Cooling CWC,Fluid Ent Temp (F),45,degF,direct,pdf,exact_match,
CCWC-1,leaving_fluid_temp_f,Leaving Fluid Temp(F),57,degF,Cooling CWC,Fluid Lvg Temp (F),57,degF,direct,pdf,exact_match,
CCWC-1,fluid_flow_rate_gpm,Fluid Flow Rate(GPM)(All Coils),9.01,GPM,Cooling CWC,Fluid Flow Rate (GPM),9.01,GPM,direct,pdf,exact_match,
HHWC-1,coil_quantity,Coil Quantity,1,,Cover Page,Qty,1,,direct,pdf,exact_match,
HHWC-1,coil_hand,Coil Hand,Left,,Cover Page,Handing,LH,,normalize_lh_to_left,pdf_normalized,normalized_match,
HHWC-1,finned_height,Finned Height(In),18,in,Heating HWC,Fin Height (in),18,in,direct,pdf,exact_match,
HHWC-1,finned_length,Finned Length(In),30,in,Heating HWC,Fin Length (in),30,in,direct,pdf,exact_match,
HHWC-1,rows,Rows Deep,2,,Heating HWC,Rows,2,,direct,pdf,exact_match,
HHWC-1,fin_density_fpi,Fins Per Inch,8,FPI,Heating HWC,FPI,8,,direct,pdf,exact_match,
HHWC-1,airflow,Total Air Flow(CFM),1095,CFM,Heating HWC,Airflow (CFM),1095,CFM,direct,pdf,exact_match,
HHWC-1,entering_db_f,Entering Dry Bulb(F),50.4,degF,Heating HWC,DB (F),50.4,degF,direct,pdf,exact_match,
HHWC-1,fluid_type,Fluid Type,Water,,Heating HWC,Fluid Type,Water,,direct,pdf,exact_match,
HHWC-1,fluid_ratio_percent,Fluid Ratio(%),100,%,Heating HWC,Fluid Percent (%),100,%,direct,pdf,exact_match,
HHWC-1,entering_fluid_temp_f,Entering Fluid Temp(F),140,degF,Heating HWC,Fluid Ent Temp (F),140,degF,direct,pdf,exact_match,
HHWC-1,leaving_fluid_temp_f,Leaving Fluid Temp(F),110,degF,Heating HWC,Fluid Lvg Temp (F),110,degF,direct,pdf,exact_match,
HHWC-1,fluid_flow_rate_gpm,Fluid Flow Rate(GPM)(All Coils),2.82,GPM,Heating HWC,Fluid Flow Rate (GPM),2.82,GPM,direct,pdf,exact_match,
HHWC-1,air_side_fouling_factor,Air Side Fouling Factor,0,,,,"",,engineer_default,engineer_default,engineer_default,Engineer entered standard mock default.
