case_id,coil_category,header_type,feed_type,special_feature,pdf_file,json_file,pdf_label,label_family,pdf_value_in,pdf_sources,json_path,json_value,difference_in,status,confidence,mapping_basis,notes
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HD/SL,HD,,,Geometry.SingleFeedExtensionHD,3,,JSON_ONLY,MEDIUM,dimension_like_json_not_seen_in_pdf_labels,"Dimension-like JSON field is present, but the corresponding focused PDF label was not observed."
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,HD2,HD,,,Geometry.HD2,5,,JSON_ONLY,MEDIUM,dimension_like_json_not_seen_in_pdf_labels,"Dimension-like JSON field is present, but the corresponding focused PDF label was not observed."
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,I,I,2.31,pdf_callout;pdf_dimension_table,Geometry.I,4.437,2.127,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,I,I,2.31,,Geometry.I,4.437,2.127,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,O,O,2.31,pdf_callout;pdf_dimension_table,Geometry.O,4.437,2.127,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,O,O,2.31,,Geometry.O,4.437,2.127,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,OAL,OAL,30.25,pdf_callout;pdf_dimension_table,,,,PDF_ONLY,LOW,pdf_label_without_confirmed_json_source,No prioritized JSON path or derived rule matched this PDF value within 0.01 in.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,OAL,OAL,30.25,pdf_callout;pdf_dimension_table,Geometry.OAL,0,30.25,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,OAL,OAL,30.25,,Geometry.OAL,0,30.25,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,R,R,1.68,pdf_callout;pdf_dimension_table,Geometry.R,1.8015,0.1215,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,R,R,1.68,,Geometry.R,1.8015,0.1215,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,S,S,1.68,pdf_callout;pdf_dimension_table,Geometry.S,1.8015,0.1215,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,S,S,1.68,,Geometry.S,1.8015,0.1215,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,SL,SL,8,pdf_dimension_table,Geometry.SL,4,4,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0014,CWC,Header 1,NOT_APPLICABLE,None,CCWC-1.pdf,CCWC-1.txt,SL2,SL,,,Geometry.SL2,3,,JSON_ONLY,MEDIUM,dimension_like_json_not_seen_in_pdf_labels,"Dimension-like JSON field is present, but the corresponding focused PDF label was not observed."
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,HD/SL,HD,,,Geometry.SingleFeedExtensionHD,3,,JSON_ONLY,MEDIUM,dimension_like_json_not_seen_in_pdf_labels,"Dimension-like JSON field is present, but the corresponding focused PDF label was not observed."
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,HD2,HD,3.5,pdf_callout,Geometry.HD2,5,1.5,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,HD2,HD,3.5,,Geometry.HD2,5,1.5,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,I,I,3,pdf_dimension_table,Geometry.I,0,3,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,I,I,3,,Geometry.I,0,3,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O,O,2,pdf_dimension_table,Geometry.O,2.062,0.062,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O,O,2,,Geometry.O,2.062,0.062,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O2,O,2,pdf_callout,Geometry.O2,0,2,MISMATCH,HIGH,same_name_geometry_check,Same-name Geometry field does not populate this PDF label in the observed drawing.
EZC-0001,DX,Header 1,NOT_APPLICABLE,None,CDXC-1.pdf,CDXC-1.txt,O2,O,2,,Geometry.O2,0,2,MISMATCH,HIGH,same_name_focus_check,Focused same-name JSON field is present but does not match the observed PDF value.
